product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000001,CK02-SET (เซ็ตปฏิทินรถ) สีแดง,FINISHPRODUCT,CALENDAR,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000001-1768445845558.jpg,7782,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000002,CK03-SET (เซ็ตปฏิทินยูนิคอร์น) สีชมพู,FINISHPRODUCT,CALENDAR,4Dชั้น5แถว4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000002-1768446728054.jpg,7783,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000003,CK04-SET (เซ็ตปฏิทินทานตะวัน) สีเหลือง,FINISHPRODUCT,CALENDAR,4Dชั้น5แถว1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000003-1768446728615.jpg,7784,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000004,CK05-SET (เซ็ตปฏิทินหมีขั้วโลก) สีฟ้า,FINISHPRODUCT,CALENDAR,4Dชั้น5แถว3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000004-1768447516453.jpg,7785,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000005,CK06-SET (เซ็ตปฏิทินแม่มด) สีม่วง,FINISHPRODUCT,CALENDAR,4Dชั้น5แถว2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000005-1768447518163.jpg,7786,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000006,CTT คริสตัลแท็ก,FINISHPRODUCT,UV-DTF,ไม่มีจุดจัดเก็บ,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000006-1768884862091.jpg,7787,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000007,เชือกสีดำ 10 เส้น,FINISHPRODUCT,ETC,4Eชั้น2แถว6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000007-1768884550650.jpg,7788,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000009,Color Pencil#12,FINISHPRODUCT,ETC,4KBแถว04ชั้น1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000009-1768884551310.jpg,7790,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000010,Color Pencil#24,FINISHPRODUCT,ETC,4KBแถว04ชั้น2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000010-1768884551677.jpg,7791,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000011,ปกห่อหนังสือ CV SET,FINISHPRODUCT,ETC,4Dชั้น3แถว2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000011-1768884552083.jpg,7792,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000012,ปกห่อหนังสือ CV3425,FINISHPRODUCT,ETC,4Dชั้น3แถว3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000012-1768884552481.jpg,7793,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000013,ปกห่อหนังสือ CV4330,FINISHPRODUCT,ETC,4Dชั้น3แถว4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000013-1768884552834.jpg,7794,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000014,ปกห่อหนังสือ CV4734,FINISHPRODUCT,ETC,4Dชั้น3แถว5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000014-1768884553245.jpg,7795,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000015,ปากกาเคมี DLB สีน้ำเงิน,FINISHPRODUCT,ETC,4KBแถว05ชั้น7,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000015-1768884553574.jpg,7796,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000016,ปากกาเคมี DLBK สีดำ,FINISHPRODUCT,ETC,4KBแถว05ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000016-1768884553963.jpg,7797,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000017,ปากกาเคมี DLR สีแดง,FINISHPRODUCT,ETC,4KBแถว05ชั้น8,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000017-1768884554360.jpg,7798,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000018,ป้ายสะท้อนแสง LST1 (เหลืองนีออน),FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000018-1768884554710.jpg,7799,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000019,ป้ายสะท้อนแสง LST2 (เขียวนีออน),FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000019-1768884555288.jpg,7800,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000020,ป้ายสะท้อนแสง LST3 (เหลืองทอง),FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000020-1768884555760.jpg,7801,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000021,ป้ายสะท้อนแสง LST4 (ฟ้า),FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000021-1768884556163.jpg,7802,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000022,ป้ายสะท้อนแสง LST5 (แดง),FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000022-1768884556555.jpg,7803,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000023,ดินสอกด 2มิล PC2MA2 สีฟ้า,FINISHPRODUCT,ETC,4KBแถว03ชั้น6,,true,,7804,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000024,ดินสอกด 2มิล PC2MA3 สีเขียว,FINISHPRODUCT,ETC,4KBแถว03ชั้น6,,true,,7805,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000025,ดินสอกด 2มิล PC2MB1 สีชมพู,FINISHPRODUCT,ETC,4KBแถว03ชั้น4,,true,,7806,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000026,ดินสอกด 2มิล PC2MB2 สีฟ้า,FINISHPRODUCT,ETC,4KBแถว03ชั้น3,,true,,7807,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000027,ดินสอกด 2มิล PC2MB3 สีเขียว,FINISHPRODUCT,ETC,4KBแถว03ชั้น2,,true,,7808,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000028,ดินสอกด 2มิล PC2MB4 สีเหลือง,FINISHPRODUCT,ETC,4KBแถว03ชั้น1,,true,,7809,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000033,RLC ไม้บรรทัดใส 18cm,FINISHPRODUCT,ETC,4KBแถว07ชั้น6 & 4KBแถวที่08ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000033-1768884556918.jpg,7814,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
