id,name_th,province_id
1001,เขตพระนคร,1
1002,เขตดุสิต,1
1003,เขตหนองจอก,1
1004,เขตบางรัก,1
1005,เขตบางเขน,1
1006,เขตบางกะปิ,1
1007,เขตปทุมวัน,1
1008,เขตป้อมปราบศัตรูพ่าย,1
1009,เขตพระโขนง,1
1010,เขตมีนบุรี,1
1011,เขตลาดกระบัง,1
1012,เขตยานนาวา,1
1013,เขตสัมพันธวงศ์,1
1014,เขตพญาไท,1
1015,เขตธนบุรี,1
1016,เขตบางกอกใหญ่,1
1017,เขตห้วยขวาง,1
1018,เขตคลองสาน,1
1019,เขตตลิ่งชัน,1
1020,เขตบางกอกน้อย,1
1021,เขตบางขุนเทียน,1
1022,เขตภาษีเจริญ,1
1023,เขตหนองแขม,1
1024,เขตราษฎร์บูรณะ,1
1025,เขตบางพลัด,1
1026,เขตดินแดง,1
1027,เขตบึงกุ่ม,1
1028,เขตสาทร,1
1029,เขตบางซื่อ,1
1030,เขตจตุจักร,1
1031,เขตบางคอแหลม,1
1032,เขตประเวศ,1
1033,เขตคลองเตย,1
1034,เขตสวนหลวง,1
1035,เขตจอมทอง,1
1036,เขตดอนเมือง,1
1037,เขตราชเทวี,1
1038,เขตลาดพร้าว,1
1039,เขตวัฒนา,1
1040,เขตบางแค,1
1041,เขตหลักสี่,1
1042,เขตสายไหม,1
1043,เขตคันนายาว,1
1044,เขตสะพานสูง,1
1045,เขตวังทองหลาง,1
1046,เขตคลองสามวา,1
1047,เขตบางนา,1
1048,เขตทวีวัฒนา,1
1049,เขตทุ่งครุ,1
1050,เขตบางบอน,1
1101,เมืองสมุทรปราการ,2
1102,บางบ่อ,2
1103,บางพลี,2
1104,พระประแดง,2
1105,พระสมุทรเจดีย์,2
1106,บางเสาธง,2
1201,เมืองนนทบุรี,3
1202,บางกรวย,3
1203,บางใหญ่,3
1204,บางบัวทอง,3
1205,ไทรน้อย,3
1206,ปากเกร็ด,3
1301,เมืองปทุมธานี,4
1302,คลองหลวง,4
1303,ธัญบุรี,4
1304,หนองเสือ,4
1305,ลาดหลุมแก้ว,4
1306,ลำลูกกา,4
1307,สามโคก,4
1401,พระนครศรีอยุธยา,5
1402,ท่าเรือ,5
1403,นครหลวง,5
1404,บางไทร,5
1405,บางบาล,5
1406,บางปะอิน,5
1407,บางปะหัน,5
1408,ผักไห่,5
1409,ภาชี,5
1410,ลาดบัวหลวง,5
1411,วังน้อย,5
1412,เสนา,5
1413,บางซ้าย,5
1414,อุทัย,5
1415,มหาราช,5
1416,บ้านแพรก,5
1501,เมืองอ่างทอง,6
1502,ไชโย,6
1503,ป่าโมก,6
1504,โพธิ์ทอง,6
1505,แสวงหา,6
1506,วิเศษชัยชาญ,6
1507,สามโก้,6
1601,เมืองลพบุรี,7
1602,พัฒนานิคม,7
1603,โคกสำโรง,7
1604,ชัยบาดาล,7
1605,ท่าวุ้ง,7
1606,บ้านหมี่,7
1607,ท่าหลวง,7
1608,สระโบสถ์,7
1609,โคกเจริญ,7
1610,ลำสนธิ,7
1611,หนองม่วง,7
1701,เมืองสิงห์บุรี,8
1702,บางระจัน,8
1703,ค่ายบางระจัน,8
1704,พรหมบุรี,8
1705,ท่าช้าง,8
1706,อินทร์บุรี,8
1801,เมืองชัยนาท,9
1802,มโนรมย์,9
1803,วัดสิงห์,9
1804,สรรพยา,9
1805,สรรคบุรี,9
1806,หันคา,9
1807,หนองมะโมง,9
1808,เนินขาม,9
1901,เมืองสระบุรี,10
1902,แก่งคอย,10
1903,หนองแค,10
1904,วิหารแดง,10
1905,หนองแซง,10
1906,บ้านหมอ,10
1907,ดอนพุด,10
1908,หนองโดน,10
1909,พระพุทธบาท,10
1910,เสาไห้,10
1911,มวกเหล็ก,10
1912,วังม่วง,10
1913,เฉลิมพระเกียรติ,10
2001,เมืองชลบุรี,11
2002,บ้านบึง,11
2003,หนองใหญ่,11
2004,บางละมุง,11
2005,พานทอง,11
2006,พนัสนิคม,11
2007,ศรีราชา,11
2008,เกาะสีชัง,11
2009,สัตหีบ,11
2010,บ่อทอง,11
2011,เกาะจันทร์,11
2101,เมืองระยอง,12
2102,บ้านฉาง,12
2103,แกลง,12
2104,วังจันทร์,12
2105,บ้านค่าย,12
2106,ปลวกแดง,12
2107,เขาชะเมา,12
2108,นิคมพัฒนา,12
2201,เมืองจันทบุรี,13
2202,ขลุง,13
2203,ท่าใหม่,13
2204,โป่งน้ำร้อน,13
2205,มะขาม,13
2206,แหลมสิงห์,13
2207,สอยดาว,13
2208,แก่งหางแมว,13
2209,นายายอาม,13
2210,เขาคิชฌกูฏ,13
2301,เมืองตราด,14
2302,คลองใหญ่,14
2303,เขาสมิง,14
2304,บ่อไร่,14
2305,แหลมงอบ,14
